연번,공번,X,Y,표고(m),수위(GL.-m),수위(EL.m),,매립층,붕적층,퇴적층,풍화토,풍화암,연암,보통암,경암,시추심도,비고
1,BH-1,203057.48,280763.68,122.4,7.2,115.2,,0.6,-,-,21.4,5.2,13.1,-,-,40.3,"동부(60만,20만)"
1,BH-2,203097.52,280824.8,105.2,2.4,102.8,,0.8,-,3.1,2.1,0.5,17,-,-,23.5,"동부(60만,20만)"
1,BH-3,203151.35,280856.59,96,7.5,88.5,,0.4,-,-,3.6,-,13.3,-,-,17.3,"동부(60만,20만)"
1,BH-4,203064.53,281141.87,98.9,12.4,86.5,,1.5,-,3.1,-,0.6,14.8,-,-,20,"동부(60만,20만)"
1,BH-5,203114.04,281112.74,82.9,3.2,79.7,,0.4,-,-,1.3,-,12,-,-,13.7,"동부(60만,20만)"
1,BH-6,203142.81,281123.37,81.5,3.4,78.2,,0.6,-,6.6,-,8.5,4,-,-,19.7,"동부(60만,20만)"
1,BH-7,203206.6,281130.19,75.7,3.9,71.9,,1.6,-,1.4,6.7,0.6,3,-,-,13.3,"동부(60만,20만)"
1,BH-8,203173.5,281246.66,98,20,78,,1.9,-,0.9,-,-,15.8,-,-,18.6,"동부(60만,20만)"
2,BH-1,204595,282819,55.6,5.5,50.1,,0.8,6.7,-,-,1,2,-,-,10.5,"동부(60만,20만)"
2,BH-2,204614,282813,55.1,4.2,50.9,,0.5,1,-,3.5,2.7,2,-,-,9.7,"동부(60만,20만)"
2,BH-3,204607,282841,54.1,3.5,50.6,,2.5,6.2,-,2.3,1.5,4,5,-,21.5,"동부(60만,20만)"
2,BH-4,204590,282849,53.6,3.2,50.4,,-,1.5,-,7.5,5,2,-,-,16,"동부(60만,20만)"
3,BH-1,204433.68,282157.72,71.3,0,71.3,,1,-,-,6,9.4,2,-,-,18.4,"동부(60만,20만)"
3,BH-2,204406.29,282117.95,71,0,71,,3.5,-,-,3.5,10.9,2,-,-,19.9,"동부(60만,20만)"
3,BH-3,204405.94,282150.04,71,0,71,,3,2,-,9,2.3,1.7,4,-,22,"동부(60만,20만)"
3,BH-4,204410.95,282179.44,71,0,71,,2.5,-,-,8.5,7.8,2,-,-,20.8,"동부(60만,20만)"
3,BH-5,204376.25,282138.48,70.8,0,70.8,,7.8,1.2,-,2.5,8.1,2,-,-,21.6,"동부(60만,20만)"
4,BH-1,205646.94,282643.19,0,3.2,-3.2,,3.2,-,10.3,-,-,1.5,-,-,15,"동부(60만,20만)"
4,BH-2,205606.7,282646.03,0,3,-3,,3.5,-,10.5,-,-,7,-,-,21,"동부(60만,20만)"
4,BH-3,205620.88,282656.9,0,3.2,-3.2,,3.5,-,10.3,-,-,1.2,-,-,15,"동부(60만,20만)"
4,BH-4,205639.75,282671.89,0,3.4,-3.4,,3.7,-,9.9,-,-,1.4,-,-,15,"동부(60만,20만)"
5,NBH-1,205912.08,282119.69,1.1,1.7,-0.6,,4.5,-,9.5,-,10,3,-,-,27,"동부(60만,20만)"
5,NBH-2,205921.74,282104.61,1,1.7,-0.7,,4.5,-,9.3,-,9.2,3,-,-,26,"동부(60만,20만)"
5,NBH-3,205892.04,282091.84,1.4,2,-0.6,,4.8,-,9.7,-,10,5.5,-,-,30,"동부(60만,20만)"
6,NH-1,205652.16,282019.36,1.8,0,1.8,,1,-,11.2,2.8,6,4,3,3,31,"동부(60만,20만)"
6,NH-2,205657,281969.1,1.9,0,1.9,,0.9,-,15.1,-,0.5,11.5,2,-,30,"동부(60만,20만)"
6,NH-3,205661.89,281918.42,1.6,0,1.6,,1,-,15.7,3.3,1.6,3.4,-,7,32,"동부(60만,20만)"
6,NH-4,205618.31,281904.08,1.7,0,1.7,,1,-,14.8,5.2,8,5,3,2,39,"동부(60만,20만)"
6,NH-5,205568.76,281914.38,2,0,2,,0.9,-,13.7,5.4,11,3,-,7,41,"동부(60만,20만)"
6,NH-6,205523,281894.3,0,0,0,,1,-,14.2,0.4,-,3.4,11,-,30,"동부(60만,20만)"
6,NH-7,205473.33,281898.19,0,0,0,,1,-,9,3,5.5,6.5,5,-,30,"동부(60만,20만)"
6,NH-8,205542.56,281956.6,0,0,0,,0.8,-,9.2,4,2,6,8,-,30,"동부(60만,20만)"
7,BH-1,203002.88,279525.42,32.5,심도이하,-,,3.5,2,-,-,-,3.8,5,-,14.3,"동부(60만,20만)"
8,BH-1,203210.44,279010.8,0,0,0,,3.4,-,-,3.3,2.7,4.1,5,-,18.5,"동부(60만,20만)"
8,BH-2,203205.54,279014.69,0,0,0,,1.9,-,-,9.5,1.1,2,-,-,14.5,"동부(60만,20만)"
8,BH-3,203213.37,279016.64,0,0,0,,2.8,2.1,-,1.1,-,2,-,-,8,"동부(60만,20만)"
9,BH-1,203501.28,279084.95,2.6,4.5,-1.9,,9.2,-,4.8,14.5,1,3,-,-,32.5,"동부(60만,20만)"
9,BH-2,203472.22,279105.5,2.9,3.1,-0.2,,8.5,-,2.5,19,4,3,-,-,37,"동부(60만,20만)"
9,BH-3,203489.31,279110.08,3.3,3.5,-0.3,,9,-,7.5,15.9,2.9,3,-,-,38.3,"동부(60만,20만)"
9,BH-4,203516.63,279120.27,2.6,8.5,-5.9,,9.5,-,9,10.5,1,3,-,-,33,"동부(60만,20만)"
10,BH-1,202829.74,278691.69,25,심도이하,-,,0.7,1.6,-,-,-,4.2,2,-,8.5,"동부(60만,20만)"
10,BH-2,202842.16,278696.03,27.9,심도이하,-,,0.5,0.8,-,2.7,1,4,5,-,14,"동부(60만,20만)"
11,NH-1,203023.14,278453.97,12.8,0,12.8,,1.5,-,-,18.2,-,1.3,1,4,26,"동부(60만,20만)"
11,NH-2,202982.93,278469.52,12.8,0,12.8,,2.3,-,-,8.2,-,0.5,-,15,26,"동부(60만,20만)"
11,NH-3,203067.31,278461.2,12.6,0,12.6,,2.5,6,-,12.5,3.5,2,-,3.5,30,"동부(60만,20만)"
12,CBH-1,203688.4,278789.5,3.2,0.5,2.7,,10.8,-,12.7,0.9,-,1,-,-,25.4,"동부(60만,20만)"
12,CBH-2,203701.6,278803.6,2.8,0.1,2.7,,18.5,-,4.5,1,-,1,-,-,25,"동부(60만,20만)"
13,BH-1,203981.88,279702.44,0,15.7,-15.7,,14,-,6.8,7.7,8.7,2.8,-,-,40,"동부(60만,20만)"
13,BH-2,203997.1,279744.87,0,14.1,-14.1,,13.8,-,9.7,9.5,13.2,2.8,-,-,49,"동부(60만,20만)"
13,BH-3,204012.32,279787.3,0,16,-16,,14.2,-,8.3,9.5,9.8,3,-,-,44.8,"동부(60만,20만)"
13,BH-4,204027.54,279829.73,0,15.5,-15.5,,15.5,-,17.5,6,13,-,-,-,52,"동부(60만,20만)"
13,BH-5,204016.85,279686.56,0,16,-16,,15.5,-,3.8,11.7,24.6,3,-,-,58.6,"동부(60만,20만)"
13,BH-6,204032.07,279728.99,0,14.8,-14.8,,14.5,-,5,10.5,8.4,3.1,-,-,41.5,"동부(60만,20만)"
13,BH-7,204047.29,279771.42,0,15.2,-15.2,,14.5,-,7,9.5,14.8,3.2,-,-,49,"동부(60만,20만)"
13,BH-8,204062.51,279813.85,0,14.8,-14.8,,13.5,-,3.7,6.8,13.5,3,-,-,40.5,"동부(60만,20만)"
13,BH-9,204066.85,279691.56,0,15.7,-15.7,,17,-,-,11,14.7,3,-,-,45.7,"동부(60만,20만)"
13,BH-10,204082.07,279733.99,0,15.9,-15.9,,15.4,-,4.2,6.4,11.8,3.2,-,-,41,"동부(60만,20만)"
13,BH-11,204097.29,279776.42,0,15,-15,,14.8,-,4.2,5,18.6,3,-,-,45.6,"동부(60만,20만)"
13,NH-1,203971.88,279692.44,0,5,-5,,13,-,5.5,11.5,12.3,2,-,-,44.3,"동부(60만,20만)"
13,NH-2,204032.54,279839.73,0,4.7,-4.7,,11,-,4.5,17.5,7,-,-,-,40,"동부(60만,20만)"
13,NH-3,204117.29,279809.73,0,4.4,-4.4,,14,-,4,13,7.4,3,-,-,41.4,"동부(60만,20만)"
13,NH-4,204056.85,279661.56,0,4.7,-4.7,,17,-,3,18,5.3,3,-,-,46.3,"동부(60만,20만)"
14,NH-1,205305.23,282004.52,5.9,7.3,-1.4,,6,-,8.8,1.2,11,3,-,-,30,"동부(60만,20만)"
14,NH-2,205285.13,281979.04,6.8,7.4,-0.6,,6.3,-,9.5,4.2,7,-,-,-,27,"동부(60만,20만)"
15,BH-1,202958.46,282236.03,233.3,10.5,222.8,,-,1.2,-,6.8,0.4,2.1,,,10.5,"동부(60만,20만)"
15,BH-2,202996.63,282183.77,221.6,15.5,206.1,,-,3.4,-,6.6,3.5,2,-,-,15.5,"동부(60만,20만)"
16,BH-1,203522.6,281262.3,105.6,심도이하,-,,3,-,1.5,11,4,3,-,-,22.5,"동부(60만,20만)"
16,BH-2,203532.65,281265.78,105.1,심도이하,-,,3.5,-,1.5,8.5,9,3,-,-,25.5,"동부(60만,20만)"
17,BH-01,202694.38,180282.03,86.27,0,86.27,,-,1.8,-,-,-,4.2,-,-,6,"동부(50만,20만)"
17,BH-02,203069.61,180067.43,101.78,0,101.78,,-,-,2.5,1.8,1.7,0.5,-,-,6.5,"동부(50만,20만)"
17,BH-03,203257.7,180092.84,44.05,1,43.05,,-,1.5,-,-,0.5,4,-,-,6,"동부(50만,20만)"
17,BH-04,203458.83,180011.53,9.03,3.02,6.01,,-,3.5,-,2.5,-,-,-,-,6,"동부(50만,20만)"
17,BH-05,203748.33,180094.55,3.65,3.77,-0.12,,4.5,-,1.5,-,-,-,-,-,6,"동부(50만,20만)"
17,BH-06,203731.47,180168.62,4.12,2.19,1.93,,4,-,2,-,-,-,-,-,6,"동부(50만,20만)"
17,BH-07,203895.25,180107.65,3.89,2.47,1.42,,6,-,-,-,-,-,-,-,6,"동부(50만,20만)"
17,BH-08,203492.54,180286.37,11.74,1.97,9.77,,-,-,2.5,-,3.5,-,-,-,6,"동부(50만,20만)"
17,BH-09,203150.7,180423.71,36.23,1.4,34.83,,-,4,-,2,-,-,-,-,6,"동부(50만,20만)"
17,BH-10,203012.12,180667.78,93.23,0,93.23,,-,6,-,-,-,-,-,-,6,"동부(50만,20만)"
17,BH-11,203807.55,180500.42,9.05,3.19,5.86,,-,2.5,-,-,3.5,-,-,-,6,"동부(50만,20만)"
17,BH-12,203473.87,180648.33,23.7,4.09,19.61,,4.3,-,-,1.7,-,-,-,-,6,"동부(50만,20만)"
17,BH-13,203654.14,180849.75,24.7,3.81,20.89,,-,4.8,-,-,1.2,-,-,-,6,"동부(50만,20만)"
17,BH-14,203703.55,180708.18,19.45,5.88,13.57,,-,2.8,-,3.2,-,-,-,-,6,"동부(50만,20만)"
17,BH-15,203955.55,180826.34,15.32,4.08,11.24,,-,2,-,4,-,-,-,-,6,"동부(50만,20만)"
17,BH-16,204184.95,180920.01,2.8,2.49,0.31,,-,2.2,4.8,-,-,-,-,-,7,"동부(50만,20만)"
17,BH-17,203472.75,181116.1,65.8,4.55,61.25,,4.5,-,-,-,1.5,-,-,-,6,"동부(50만,20만)"
17,BH-18,203332.05,181280,133.55,5.79,127.76,,-,-,4,2,-,-,-,-,6,"동부(50만,20만)"
17,BH-19,203569.48,181306.6,109.42,0,109.42,,-,3,-,3,-,-,-,-,6,"동부(50만,20만)"
17,BH-20,203723.26,181179.68,67.76,4.03,63.73,,-,2.5,-,3.5,-,-,-,-,6,"동부(50만,20만)"
17,BH-21,203867.25,181255.73,67.11,0,67.11,,4.8,-,-,1.2,-,-,-,-,6,"동부(50만,20만)"
17,BH-22,2040401.48,181071.1,10.33,1.27,9.06,,-,4,-,2,-,-,-,-,6,"동부(50만,20만)"
17,BH-23,204233.59,181140.11,3.34,2.2,1.14,,2,-,4.5,1.5,-,-,-,-,8,"동부(50만,20만)"
17,BH-24,204098.2,181276.96,11.4,0,11.4,,2.5,-,-,3.5,-,-,-,-,6,"동부(50만,20만)"
17,BH-25,203767.56,181550.38,46.62,0,46.62,,-,-,-,-,3.5,2.5,-,-,6,"동부(50만,20만)"
17,BH-26,202786.49,180283.85,63.66,3.22,60.44,,-,1,-,-,-,5,-,-,6,"동부(50만,20만)"
17,BH-27,202903.42,180301.01,48.08,3.1,44.98,,-,2.5,-,-,-,2.5,1,-,6,"동부(50만,20만)"
17,BH-28,203136.72,180258.65,42.43,2.81,39.62,,-,2,-,3,1,-,-,-,6,"동부(50만,20만)"
17,BH-29,203790.51,180346.94,5.72,3.35,2.37,,2.5,0.7,-,1,1.8,-,-,-,6,"동부(50만,20만)"
17,BH-30,203454.12,180466.79,17.02,2.47,14.55,,-,4,-,-,0.5,1.5,-,-,6,"동부(50만,20만)"
17,BH-31,203166.53,180920.56,83.57,0,83.57,,2,4,-,-,-,-,-,-,6,"동부(50만,20만)"
17,BH-32,203844.22,180985.55,26.01,0,26.01,,2,-,-,4.5,-,-,-,-,6.5,"동부(50만,20만)"
18,BH-1,204074.95,279977.28,5.5,6.5,-1,,11,-,2.5,16,13,-,-,2,44.5,"동부(60만,20만)"
18,BH-2,204112.75,280015.52,4.43,4.5,-0.07,,12.6,-,1.7,3.9,-,-,-,4,22.2,"동부(60만,20만)"
18,BH-3,204153.46,280055.4,4.5,4.1,0.4,,11.6,-,3.4,22,1.5,2,-,-,40.5,"동부(60만,20만)"
18,BH-4,204135.84,279975.8,4.5,4,0.5,,11.7,-,3.5,11.3,4.8,1.7,-,-,33,"동부(60만,20만)"
18,BH-5,204167.39,280013.02,4.8,4,0.8,,10.8,-,3.4,14.3,-,2,-,-,30.5,"동부(60만,20만)"
18,BH-6,204167.17,279942.29,4.7,3.5,1.2,,14.2,-,1.5,6.7,11.2,-,-,2,35.6,"동부(60만,20만)"
18,BH-7,204199.54,279985.96,4.8,4,0.8,,14.3,-,0.8,15.5,-,2,-,-,32.6,"동부(60만,20만)"
18,BH-8,204235.02,280019.91,4.8,3.9,0.9,,12.8,-,3.7,14.5,-,-,-,2,33,"동부(60만,20만)"
18,NH-1,204075.3,179625.3,4.6,5.27,-0.67,,15,-,1,10,3.5,2,-,-,31.5,"동부(50만,20만)"
18,NH-2,204029.2,179643.1,4.52,3.55,0.97,,15.5,-,-,9.5,1.5,2.5,-,-,29,"동부(50만,20만)"
18,NH-3,204032.2,179694.3,4.45,4.6,-0.15,,9.9,-,3.9,11.2,3,2,-,-,30,"동부(50만,20만)"
18,NH-4,204071.8,179737.7,4.4,4.25,0.15,,9.8,-,5.2,28,1.5,2.5,-,-,47,"동부(50만,20만)"
18,NH-5,204116,179751,4.6,5.4,-0.8,,11,-,5,28,13,1,,,58,"동부(50만,20만)"
18,NH-6,204153,179736.7,4.85,5.8,-0.95,,12.7,-,4.3,18.5,10.5,2,-,-,48,"동부(50만,20만)"
18,NH-7,204054.1,179667.3,4.51,5.22,-0.71,,11.4,-,3.1,12.9,1.6,5,-,-,34,"동부(50만,20만)"
18,NH-8,204134.5,179705,4.85,6.44,-1.59,,11.5,-,4.3,12.7,2.5,11.5,1,-,43.5,"동부(50만,20만)"
19,B-1,385752.05,282622.85,56.81,6.6,50.21,,7.2,-,-,-,5.8,0.5,-,13.5,27,"중부(60만,20만)"
19,B-2,385754.87,282576.02,71.5,10.5,61,,8,-,-,-,5.7,12.8,-,-,26.5,"중부(60만,20만)"
19,B-3,386145.96,283504.8,41.96,11.2,30.76,,13,-,-,-,1.7,6.3,-,-,21,"중부(60만,20만)"
19,B-4,385311.17,285077.76,58.9,3.8,55.1,,2.6,-,-,1.4,3,9,-,-,16,"중부(60만,20만)"
19,B-5,386306.39,283372.84,40.5,4.3,36.2,,4,-,-,4.4,5,5.1,-,-,18.5,"중부(60만,20만)"
19,B-6,386540.59,283146.41,2.6,2.8,-0.2,,15.7,-,-,7.8,6.2,-,-,-,29.7,"중부(60만,20만)"
19,B-7,386666.24,283052.45,3.76,6,-2.24,,8.7,-,-,4.1,-,3.2,-,-,16,"중부(60만,20만)"
19,TP-1,385462.3,285186.29,0,0,0,,0.2,-,1,-,-,-,-,-,1.2,"중부(60만,20만)"
19,B-9,385289.51,285252.27,41.5,4,37.5,,2.7,-,-,-,1.9,2.2,-,-,6.8,"중부(60만,20만)"
19,TP-2,385711.36,282816.42,0,0,0,,0.7,-,0.3,-,-,-,-,-,1,"중부(60만,20만)"
19,TP-3,385517.71,285034.06,0,0,0,,0.6,-,0.9,-,-,-,-,-,1.5,"중부(60만,20만)"
19,TP-4,386047.26,283584.53,0,0,0,,0.5,-,0.5,-,-,-,-,-,1,"중부(60만,20만)"
19,B-8,386874.47,282899.52,7,0,7,,3.7,-,-,10,4.6,1.2,-,-,19.5,"중부(60만,20만)"
20,BH-1,205183.78,282227.6,4.2,4.3,-0.1,,5.5,-,5,1,15.5,3,-,-,30,"동부(60만,20만)"
20,BH-2,205184.93,282280.48,3.7,6.2,-2.5,,4.5,-,6,-,17.5,3,-,-,31,"동부(60만,20만)"
20,BH-3,205209.9,282288.24,3.7,3.5,0.2,,5.5,-,3.5,3,11.8,3.2,-,-,27,"동부(60만,20만)"
20,BH-4,205201.24,282255.5,3.7,3.1,0.6,,5.5,-,5.5,1.5,12,3,-,-,27.5,"동부(60만,20만)"
20,BH-5,205199.09,282226.73,4,3.2,0.8,,5,-,6,5,8.5,3,-,-,27.5,"동부(60만,20만)"
21,BH-1,204256.79,280258.67,3.2,10.5,-7.3,,-,-,-,-,-,-,-,-,49,"동부(60만,20만)"
21,BH-2,204270.12,280287.97,2.3,9.4,-7.1,,-,-,-,-,-,-,-,-,64,"동부(60만,20만)"
21,BH-3,204280.69,280316.78,2.14,9.2,-7.06,,-,-,-,-,-,-,-,-,52,"동부(60만,20만)"
21,BH-4,204293.49,280345.89,2.95,10.5,-7.55,,-,-,-,-,-,-,-,-,81,"동부(60만,20만)"
21,BH-5,204284.94,280245.32,2.56,9.8,-7.24,,-,-,-,-,-,-,-,-,50,"동부(60만,20만)"
21,BH-6,204297.12,280274.23,3.25,10.3,-7.05,,-,-,-,-,-,-,-,-,48.5,"동부(60만,20만)"
21,BH-7,204302.78,280305.17,3.35,11.4,-8.05,,-,-,-,-,-,-,-,-,78,"동부(60만,20만)"
21,BH-8,204322.04,280325.17,2.5,10.4,-7.9,,-,-,-,-,-,-,-,-,85,"동부(60만,20만)"
21,BH-9,204310.6,280230.87,2.61,10.3,-7.69,,-,-,-,-,-,-,-,-,50,"동부(60만,20만)"
21,BH-10,204322.71,280261.31,3.26,10.9,-7.64,,-,-,-,-,-,-,-,-,52.5,"동부(60만,20만)"
21,BH-11,204326.43,280284.68,3.24,10.9,-7.66,,-,-,-,-,-,-,-,-,58,"동부(60만,20만)"
21,BH-12,204344.99,280308.12,2.53,10.4,-7.87,,-,-,-,-,-,-,-,-,87,"동부(60만,20만)"
21,BH-13,204336.25,280216.42,2.92,10.6,-7.68,,-,-,-,-,-,-,-,-,61,"동부(60만,20만)"
21,BH-14,204348.98,280242.44,3.28,10.9,-7.62,,-,-,-,-,-,-,-,-,66,"동부(60만,20만)"
21,BH-15,204355.31,280272.01,3.27,11,-7.73,,-,-,-,-,-,-,-,-,52,"동부(60만,20만)"
21,BH-16,204367.93,280291.06,2.69,11,-8.31,,-,-,-,-,-,-,-,-,67,"동부(60만,20만)"
21,BH-17,204376.52,280256.02,3.3,11,-7.7,,-,-,-,-,-,-,-,-,51,"동부(60만,20만)"
21,BH-18,204388.64,280271.24,3.14,11.2,-8.06,,-,-,-,-,-,-,-,-,55,"동부(60만,20만)"
21,BH-19,204366.18,280200.24,3.59,11.5,-7.91,,-,-,-,-,-,-,-,-,68,"동부(60만,20만)"
21,BH-20,204381.18,280227.27,3.38,11,-7.62,,-,-,-,-,-,-,-,-,38.4,"동부(60만,20만)"
21,BH-21,204408.88,280257.69,3.26,10.5,-7.24,,-,-,-,-,-,-,-,-,38,"동부(60만,20만)"
21,BH-22,204279.34,280266.62,3.14,10.2,-7.06,,-,-,-,-,-,-,-,-,48.5,"동부(60만,20만)"
21,BH-23,204287.38,280331.18,1.99,9.8,-7.81,,-,-,-,-,-,-,-,-,56,"동부(60만,20만)"
21,BH-24,204279.7,280295.15,3.15,10.9,-7.75,,-,-,-,-,-,-,-,-,60,"동부(60만,20만)"
21,BH-25,204299.48,280289.94,3.2,10.1,-6.9,,-,-,-,-,-,-,-,-,69,"동부(60만,20만)"
21,BH-26,204308.45,280287.21,3.2,9.9,-6.7,,-,-,-,-,-,-,-,-,52,"동부(60만,20만)"
21,BH-27,204373.88,280276.36,3.11,10.7,-7.59,,-,-,-,-,-,-,-,-,62,"동부(60만,20만)"
21,BH-28,204363.3,280232.24,3.32,10.4,-7.08,,-,-,-,-,-,-,-,-,67,"동부(60만,20만)"
,,,최소,0,0,,,0.2,0.7,0.3,0.4,0.4,0.5,1,2,1,
,,,최대,233.3,20,,,18.5,6.7,17.5,28,24.6,17,11,15,87,
,,,평균,233.3,5.4,,,6.5,2.8,5.8,7.6,6.2,3.9,4.1,5.4,28.9,
